RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
102001,0,United States,country,,1191.1261930151693,1196.5993250425295,1202.517840080464,1207.3639740399672,1211.807925892582,1215.86057199942,1220.4881312419338,1225.5884066917683,1231.0190003107255,1236.3185433526965,1241.2964723631212,1245.7815664427737,1249.4356238790401,1252.6773972881358,1254.7966997543274,1258.179080117654,1261.7447123741185,1266.437406714033,1270.2992475419446,1274.2990069806172,1278.0318491277926,1281.7847671971037,1285.2557867955459,1288.4622583705743,1293.317449122973,1298.7889818196877,1305.6758732682238,1310.6868272982601,1315.5002992221573,1319.3710837296346,1323.4215487792935,1326.9448953761173,1331.5477380128996,1335.6174898066313,1340.2488233417655,1344.9538933126823,1349.830520950903,1354.9526824755455,1359.1429107576134,1363.7534219018366,1367.540375852931,1372.0368904888246,1376.7022628920058,1381.9091616640992,1386.180612023061,1391.300912368976,1396.9315574860223,1402.5555147098448,1406.8787442544667,1410.4605911283516,1414.745975435985,1419.4585864903586,1424.9439529538122,1430.1552890339663,1435.33300339706,1440.3297835181725,1445.582622733829,1450.4629199030164,1454.7688641185935,1459.1630298108084,1464.2269395946307,1469.6878937877648,1474.0966501424039,1471.587458382891,1466.84856394331,1462.7416681630978,1463.1090707994852,1463.1783140280525,1463.8878726796745,1467.42866096501,1473.3049474214918,1480.890126520246,1490.1948020872173,1500.3877205492745,1512.3489933625626,1528.449078401017,1549.3467541714244,1573.376695664873,1598.1837167040408,1624.8778136386638,1651.2964351935586,1673.9572022397929,1693.2583976791602,1710.4402528890887,1724.96998916722,1738.8985029583332,1750.3848073544173,1766.0161047864267,1780.480471519913,1795.9299230905983,1807.5803559818173,1816.1021736562598,1822.0066758790513,1826.434083153431,1830.8330578362427,1836.3832140314987,1841.7706860527585,1847.025763101379,1854.1997535194992,1858.8625466552012,1863.6458679085129,1865.158137575048,1868.9651145647413,1873.4348881110075,1878.5748474403595,1884.6385675646213,1889.8319566379719,1895.8581191440885,1901.8917452482992,1909.018561177728,1915.0672172047523,1919.7627641326173,1923.5807279943244,1928.4365688556459,1932.8968471651028,1937.7745924784654,1943.2483858352857,1949.206044363007,1956.1848487530083,1961.997710639613,1968.0404501325165
394913,1,"New York, NY",msa,NY,2210.0348990720217,2224.692838944725,2237.4449106195266,2247.336911700057,2251.236782027007,2255.0623726765875,2259.3288844645685,2267.3857115626843,2275.5777651365365,2283.4532760291,2287.939549966591,2292.723473557539,2295.9502178909042,2299.5416908455545,2300.1817767630423,2301.4910962572953,2303.969930892873,2307.6071820071,2313.3515740653143,2316.0331906942242,2320.4009767532207,2324.8721549735214,2333.87830301954,2337.1412668793146,2340.0560737142614,2339.7379239149063,2343.5755634964844,2346.2307527907597,2351.526170915267,2354.517505802991,2357.7843445025746,2359.2133033486016,2362.0344232109064,2361.4325535586813,2361.1689244099107,2363.1507777038983,2367.898146624447,2373.1984328577732,2377.475708313531,2385.162549343757,2389.6226051419303,2393.9064082158284,2398.0435023797113,2405.9171939607277,2412.543885393497,2416.974327077563,2423.4894274951625,2428.8907477543103,2435.789189315204,2441.152008812487,2447.3362197494234,2451.6861408610625,2457.472378841997,2464.571814842446,2471.55103040021,2477.344376317764,2483.415615513628,2493.1280035639643,2500.6029818222923,2509.341937917881,2516.045296030073,2524.703247804099,,,,,,,,2295.8807383948833,2283.314931958159,2282.9318212243247,2285.698192231617,2293.1926571985496,2304.1616231306916,2322.4683271581553,2351.6125276494595,2389.3606299923163,2435.4117338912315,2491.3333048310897,2548.582299321291,2599.882624186823,2645.0806692895426,2683.197593054057,2714.8092424390256,2740.9009790828068,2764.908917138807,2791.296919523247,2821.9121128514576,2854.353003701876,2885.3627500911894,2909.8218910069386,2926.294770867582,2933.966493589745,2936.9044445043846,2938.74530338934,2944.6139601822642,2952.851120768339,2964.570499283075,2979.195784615556,2990.8066320632415,2999.2653521924576,3006.748670500023,3014.9098171978553,3027.7750877905946,3038.0903611033973,3045.3909556119406,3053.614149559681,3065.093494190681,3080.5756983341876,3093.3117143447016,3100.7870445870017,3105.982741262626,3110.8472433653237,3115.4022942975225,3120.917731360813,3126.6062594351383,3139.6525954779004,3158.1983334309107,3177.477081711913,3193.1546051979276
753899,2,"Los Angeles, CA",msa,CA,1806.06866332076,1815.9319943530418,1827.3047755409734,1836.9455711003673,1844.8030464982187,1852.8643482627594,1862.957618714569,1874.2395989892846,1886.901417531088,1897.8778531176217,1909.861807070624,1921.813743008503,1931.7517873607922,1940.338570847052,1946.5875440771763,1953.340933590106,1961.9025971517174,1972.063384058586,1982.4206681886192,1990.1420482425838,1998.4389251154976,2005.8074558602673,2013.9372258410856,2021.677645955882,2034.6983018475455,2047.7285957262857,2063.246558519436,2074.2482668556195,2083.8942563797495,2090.834105034762,2098.293066214885,2104.7538296225043,2113.252524723882,2120.6080653829385,2130.496693590811,2138.8263115750697,2148.730542178423,2158.5328383863375,2164.6441210820694,2171.6030971907803,2176.134190908609,2185.5709453096592,2193.7711925893836,2203.9390087476636,2211.3332819646494,2220.1442317213177,2228.848429544467,2237.644143733477,2242.471214974021,2246.6248859690495,2253.1433218167613,2261.0835453770405,2271.054988157259,2277.9694541088843,2285.178156330847,2291.613130811577,2298.687987195587,2305.2377318337853,2310.1649989717635,2315.7053579263497,2322.277365756034,2329.271376606042,2324.786443326421,,2305.400432364238,2296.321308785739,2290.960466039171,2284.184215309209,2282.2194636834847,2286.3790159453447,2293.95148424998,2299.7936906696286,2309.561073984892,2319.3872852860422,2332.723625036152,2346.7172838480874,2367.792287779454,2398.377724209337,2436.2860999583518,2481.14037111392,2520.5834436940067,2552.0184419832262,2576.8909085189407,2603.99606663386,2627.272949408278,2652.2499647178925,2673.301700524454,2702.3234690065865,2725.345029245077,2744.1670005333153,2755.1562852929464,2762.4975811657378,2768.4851932964702,2771.665354215016,2777.321282771155,2782.4093585846426,2783.8943304296,2787.2395403679743,2794.2048083224113,2801.233782601007,2805.3762225711625,2807.6091910252976,2812.0582663636974,2819.3892683877643,2824.5446662783083,2832.5018433872506,2835.9577989363797,2844.286553401316,2847.5829470189656,2855.7421676804324,2862.2478039939156,2864.6922075550087,2870.7247683620526,2878.09133279846,2885.934832692496,2892.00868659903,2901.6704258818695,2912.2527302807644,2926.521317776394,2937.0219115750024,2954.053863468627
394463,3,"Chicago, IL",msa,IL,1372.7107884629725,1374.0262894410196,1377.9284181724317,1381.749970526384,1386.2584513665038,1389.1897425187833,1391.9256915267895,1395.8197478623283,1399.2503069898587,1403.8831111483482,1408.366073863775,1413.6183546062716,1417.246008004739,1419.6547123256612,1421.6569437926132,1422.632101298433,1424.1368819050394,1427.1256888448722,1431.9680033840177,1438.0771541400322,1440.5680633647394,1443.2995863559054,1442.8129295851986,1442.6215832516752,1444.4071881933894,1450.50587085905,1458.4528150146011,1464.3649625335427,1468.7687366650594,1470.0677358860644,1471.1579395747988,1470.340864222073,1474.3789254629783,1476.1377524229586,1480.4372111299276,1483.3901057480366,1487.0118404572788,1490.6202595208883,1492.212591424533,1494.9292603517536,1497.335622623364,1501.985451649746,1506.205853780926,1509.1045691939528,1509.6717916349905,1511.2358839779752,1514.87786422434,1521.6618147734005,1525.891611921734,1528.3170725885527,1530.872099432814,1533.8440170786575,1537.7679449349246,1541.2582858438766,1544.9191520263753,1550.302771889413,1555.918238689609,1561.8530393005508,1565.657964827068,1567.684325878166,1571.1067057366367,1575.202561991662,1579.525117062913,1571.3910958082017,1561.7664609692536,1553.5863059448636,1550.282766700654,1547.8014406490486,1543.223044442247,1536.8859496332034,1532.6830874080777,1532.4983675354401,1532.9097810051944,1537.6826909528372,1544.2230512144201,1559.8401484459068,1576.022781898197,1593.8052979374095,1608.7583943937307,1623.7127412078437,1640.112251352892,1654.891352376538,1669.67914564126,1683.0023707784685,1696.151629318243,1705.3837435430394,1715.4671004356244,1727.4338043650716,1741.5696053824322,1753.0428272927002,1765.3399869798866,1775.4030424352618,1786.1158538813263,1796.9503695989222,1806.0582854551176,1814.2893786604784,1821.80295099747,1830.6511288870004,1840.7150521815151,1847.0892839433068,1855.4485847445392,1863.9998840464982,1873.1210001172863,1882.8557002154566,1889.8739244588992,1895.6911511791673,1900.4092450338708,1909.6013666727947,1919.9914129805588,1930.1145824271127,1938.5505137580446,1947.2132745592094,1953.2434414768313,1960.256958582497,1967.0888516023065,1974.7580192272158,1984.1301422613917,1994.9271151005028,2007.4668012858788,2017.1437268310463,2026.3096676616758
394514,4,"Dallas, TX",msa,TX,1083.5818871762178,1087.550082563826,1091.847720227537,1098.8016925848813,1103.554700261141,1108.509549054962,1112.5793395484259,1117.240083091463,1122.2345354625752,1127.201013201732,1132.568132856066,1137.8664339851296,1141.3590021135067,1145.9657417648957,1149.2512065391998,1154.6534465266034,1158.0838456100194,1162.7881857249713,1166.5378642427952,1171.648676380715,1176.6024021484698,1181.8991136543996,1185.675196425826,1189.4099156682987,1195.3154154827596,1200.1417857742092,1207.8078010781953,1212.0513799081011,1219.679467971206,1222.8039067442699,1227.1280157132026,1230.2789958827925,1234.1115329044783,1236.4280459894997,1241.7116682739816,1246.2118807214897,1251.6927060163964,1255.9718478505529,1257.377601901698,1259.9731160268698,1260.6554768984363,1265.6911209194604,1269.6472506123137,1273.5182740385676,1276.1185649328056,1281.8962795543673,1286.7106828841402,1293.1982226920063,1296.0519014311074,1298.6757991554978,1303.5112664834292,1308.453310779603,1313.5384078999743,1317.0511011983644,1320.881388495713,1324.867364651516,1329.3537087935108,1331.8705501577826,1333.82153240899,1334.707820243831,1337.337424123899,1340.7428597714713,1347.463883188997,1345.3606715054214,1341.4749972255845,1336.5414200290572,1336.2198161519505,1337.9046245248578,1342.8416578982337,1350.5453093198637,1358.1443935302473,1367.7083528444286,1376.6856932584717,1387.6908313241113,1397.0158745448389,1413.0634058719838,1432.6262112358222,1457.3505432378445,1483.4589934525727,1511.32435568148,1537.5637868016565,1559.587406735612,1580.0529979452679,1598.4123426378228,1614.024696355392,1626.4895744291662,1636.021531813337,1651.4048314459865,1666.799108423694,1686.3180016199062,1697.8733075024934,1702.4133928373415,1701.8425127969276,1698.0183108117806,1697.3683416159358,1697.8911935354363,1701.8469851860243,1706.0879044634933,1712.9967749357606,1712.576010268398,1712.0855279542084,1706.7145244750084,1706.2348764223816,1705.1418099415193,1705.6556733257103,1707.8044647766524,1709.9926087914187,1710.9223549768044,1711.008425184615,1711.3433408028145,1710.8241403821553,1711.0227839130885,1710.0717746717464,1709.2952854866842,1707.8718929265876,1709.379100752169,1711.8908174512774,1715.0121183933306,1716.460000547612,1718.184725477495,1719.0941421746538
394692,5,"Houston, TX",msa,TX,1214.40234363266,1216.8862736735023,1221.8519645287809,1223.9396534764098,1225.9060148452927,1227.783467525489,1230.532900141421,1234.4372265410052,1235.6731930166968,1236.7227320463237,1237.8246151834683,1238.8264013335042,1241.1272497380041,1241.6421293019425,1244.30448007334,1243.3133212856308,1241.1168565366768,1239.2283148244808,1240.0075775294135,1241.2411389539648,1239.2460934974936,1238.010335005488,1235.0184721700332,1235.072356766955,1236.4080463617709,1242.062272363812,1247.223978915945,1248.4052469537992,1251.7342351445825,1251.4701186670682,1253.2585707895873,1252.4645094502391,1262.8515371260996,1272.5749999379796,1284.5564840525194,1291.3288585708788,1295.3469585782243,1299.0593070669338,1297.5121014355695,1301.2714893608836,1300.4677161696552,1303.938944367797,1304.889314525261,1307.8915246381114,1307.8535598665724,1309.6773750863704,1312.0270670132134,1312.6573824457694,1314.0927822366732,1311.7383016700503,1315.8699465635445,1318.7201640166738,1324.221035672528,1328.1087981793162,1332.3314284126327,1336.1305531026444,1337.5013096739374,1337.80664221636,1337.1759028529323,1340.0177536100614,1343.4956687220322,1349.3233074551556,1355.6425647717444,1352.04272842803,1342.920647350831,1334.0667062937796,1333.7376667182834,1336.5928795281952,1340.4141937473985,1346.1784518490103,1352.1225190716639,1356.6384550430228,1360.8127107911894,1362.5945519280417,1368.4576045765675,1379.792728138951,1398.081387456005,1420.0442407872806,1439.2459508007298,1459.119934030248,1475.859112550856,1488.8949231508202,1499.829201131232,1509.4724325187294,1518.8543077579423,1528.412727672289,1535.6592256615838,1546.0150208944106,1552.9520485140663,1561.6776069026112,1567.904130926676,1572.1183622317992,1574.2254253758356,1575.2845913662861,1577.1215390306359,1581.4026586830585,1587.4985730911667,1593.413980080942,1601.6859117297404,1603.7699764192014,1607.2218085854263,1607.2380942258721,1609.5389911414934,1610.2846057320878,1610.735713809074,1612.289880467901,1615.4519537360115,1620.4023350057928,1626.392444021321,1629.2002299345875,1630.3542602297534,1633.4114387882717,1635.5667703064387,1638.5182981128278,1641.218688388713,1645.7158651278455,1651.945903891488,1658.3580536279649,1663.363607102136,1665.9100266561795,1666.6481929370548
395209,6,"Washington, DC",msa,VA,1683.342570391647,1687.5963745755075,1692.188042186309,1694.1728098792407,1697.0341952688516,1698.1454414773539,1699.8853678238343,1700.036741492715,1704.7763549391047,1708.795336061512,1715.1022242126571,1718.1774486783113,1721.1334500720259,1720.9796713377198,1721.4322471589971,1722.333737830843,1725.3644395043648,1727.0627348803062,1729.6615823771012,1733.4528296871638,1735.6909873884583,1738.5577322202907,1740.0447669856155,1743.6440836775782,1748.0922571278934,1755.5311134080644,1761.452985537041,1765.5045797176174,1765.9116181508323,1768.7000742682271,1770.864613958535,1773.1369321673071,1776.8632513584266,1780.4074002710627,1781.828566685349,1782.9212063875534,1784.510161186604,1787.8162010462568,1792.988940911511,1797.8196998471467,1803.0402430014549,1807.313018292734,1812.2506670365105,1818.8633470744046,1820.6742728769652,1826.8623369984493,1835.278840515836,1843.789252686392,1846.4619818582248,1848.6358417564143,1851.3189020893544,1855.2834564894565,1860.4023672313162,1865.523869138006,1870.2985346689725,1873.5811299846594,1880.1049097614377,1883.2570174115847,1885.993244510075,1888.535598570358,1895.2476538166845,1901.0554393502332,1909.0217246963275,1903.2052970183804,1893.2164622067132,1878.8480855394332,1869.69373252256,1862.923381968677,1855.1630962741358,1849.6545148761797,1844.189080508495,1842.9958746471104,1847.1814218091547,1852.826719588109,1857.1516564544231,1866.2921742185185,1884.488093976935,1911.3967143803022,1937.5181542349908,1963.2990437908873,1986.717902905511,2010.085250848122,2028.8827864670568,2043.6075671366152,2050.609119894773,2058.3504149474,2067.2879353934677,2082.753026514388,2096.9481395516054,2111.055268089195,2123.4126529955174,2131.1614842835565,2137.2773321585746,2136.9184698631443,2138.7062389210737,2142.2919070729513,2148.953267587603,2157.4564907458475,2168.4613446837743,2174.7442050799855,2180.830351310499,2181.5710207601724,2187.085147818342,2194.8259503494323,2204.8026840712578,2217.880463739986,2228.3971825097974,2238.245994796836,2246.1390556024044,2256.7126555568525,2264.9699895805265,2272.8457789398667,2279.760549200239,2289.3403935986557,2296.41614781018,2304.3421513530266,2312.1208026739446,2320.750385819434,2331.355678770303,2342.327930924397,2354.768900983117
394974,7,"Philadelphia, PA",msa,PA,1224.1329247599995,1227.730196289228,1234.5278862870023,1237.4410608576882,1240.1714061778432,1240.672435776024,1243.999439069393,1246.6537943521648,1250.803358528474,1254.2885944224681,1254.6748119497854,1255.2505026187491,1255.2542435567648,1260.2551443998686,1262.7458758822559,1266.7950102935142,1269.6734830617258,1275.4242874846923,1278.3787758520593,1281.0586353440463,1282.478418236845,1284.898255759811,1290.7471212564687,1294.5986173798033,1298.8816873990652,1300.7416106222074,1304.6522360108168,1307.786409387388,1310.4371819969572,1310.7980416163853,1313.2134979265747,1316.817372125461,1321.656497893468,1325.0927447915299,1327.3100765417605,1333.1978871604226,1336.6922716810723,1340.5199252152522,1342.8035019101374,1346.7845584921715,1352.2446772687028,1355.2473520394735,1358.3890103465203,1361.7345376323058,1366.42623995129,1372.3178337261807,1378.8451957826355,1381.5767156561972,1386.457834087515,1388.94527782109,1394.250141006509,1398.4872705570467,1402.1559496604068,1408.42307230776,1414.1334210464613,1419.252792905337,1423.0126604324325,1426.4225202670264,1429.4326181824094,1434.0762334613796,1438.318828881956,1444.7153516697977,1449.5619202868695,1449.6224007232065,1446.404016029218,1444.3953533780686,1447.932901268631,1450.0552775858935,1454.963293253868,1459.045844971222,1464.702803439402,1469.3539628782528,1475.5881052881498,1480.916055780183,1486.4385472420458,1498.135694299167,1515.6833995655302,1533.2366249140498,1548.7444415479247,1565.990052445531,1579.4043575601079,1594.8608006225543,1608.256622331122,1627.880608974504,1640.1247294559053,1651.1994614079254,1658.1817101070017,1668.5449899879761,1677.9144600780533,1689.3939795380568,1698.4523658407236,1704.7380873451168,1708.461089035047,1709.4179045396324,1712.749682915642,1713.4495971222705,1719.882533505967,1722.4939493486509,1730.8534353529956,1735.9424524020155,1742.786180568046,1744.32129188666,1748.8922136222152,1754.2540102337553,1764.3931479109688,1771.9308177176497,1778.424680481185,1780.695039270542,1785.0337359777493,1793.4311704892787,1799.3598823552804,1804.8337184002862,1808.2195803009097,1814.713653131077,1820.3964449547145,1826.534737963756,1830.9853416925246,1838.4320750364266,1845.9209292582557,1856.7300506245294,1864.6263362247182
394856,8,"Miami, FL",msa,FL,1462.8486489403485,1471.5687782741143,1478.5854141681036,1486.085324686375,1493.333274392559,1500.8766599183946,1507.5356464306794,1513.9822843840514,1521.8340995221683,1528.0982388909888,1536.9756130007188,1543.0453838265205,1549.0140423470289,1552.2185775560754,1555.7080406392895,1557.742109437084,1557.5441560831234,1557.1327959292335,1557.9250421246722,1559.5017976015806,1561.8007248168165,1563.506144195016,1566.6547368213357,1569.033683130143,1574.993633729725,1579.957470600937,1587.7768268456764,1591.3787823804769,1594.2995134163687,1597.3784094760422,1601.496102271618,1607.4611855983721,1612.1617298224828,1615.7678826786405,1615.931605038808,1617.9588858715074,1622.1313665236082,1627.5405930264753,1631.9667246979889,1636.6813426186657,1641.510256215512,1647.0508323628874,1652.1227843603583,1657.2184298834004,1660.58320080818,1664.92439658151,1669.7229134672855,1675.2783007871928,1677.8890930934006,1679.4898528871618,1681.297956551253,1685.4441761418184,1690.4995394292562,1695.1333650186314,1699.5814540973902,1703.1041628402938,1708.5838301885665,1714.1968178490147,1721.0095819822616,1726.8127470647105,1733.4002207813055,1740.7831687612677,1742.0799947398953,1738.3649482118058,1731.352517605615,1729.5137596639697,1729.937653627053,1732.0702226153946,1736.2887922181528,1749.147947610101,1765.5578447383216,1781.3625252856887,1799.8590671049553,1825.5972460700202,1855.5633366538652,1890.4736241434446,1930.7205761512785,1979.1676088694373,2038.3819086640187,2099.9624351138505,2157.51821353015,2203.2690475633276,2247.3856032674526,2295.5374669910248,2342.6774056094155,2379.907581697511,2416.6740348724506,2455.649730265285,2493.78038451274,2518.891777139478,2533.241933688633,2539.529281608502,2546.6971496028873,2552.173001673623,2560.423760277719,2569.267692245221,2575.2070851800227,2579.8051605367236,2582.155663843349,2584.8370572268213,2590.0239204327663,2594.663889242402,2597.5147814365714,2601.814861708509,2606.2262745171747,2617.5365015891184,2624.439332486468,2626.3868707246033,2629.2726186088134,2636.8025503197073,2644.0544890964898,2647.7098154521914,2647.5840362571853,2651.0368819923365,2657.3252115790674,2664.8379150833684,2671.773043834669,2675.6393173545553,2680.6734797979316,2687.2462141696515,2693.6402946219537
394347,9,"Atlanta, GA",msa,GA,1021.7036836137635,1026.777485137447,1029.1007863866405,1035.2959215761425,1039.0315040415844,1046.1958179808303,1050.4424066403847,1055.3980868012402,1060.4287298472316,1065.8328836950413,1070.2324926961664,1075.412180311915,1080.766544840918,1086.751042627423,1092.0302385306131,1095.0114941206455,1099.2386265857826,1103.5005538436872,1110.1777742612524,1116.1368052043672,1121.357706228639,1126.9567361899135,1131.5320799852632,1136.1808991462744,1141.284538803859,1147.6069982396502,1155.620101809145,1162.865898787005,1170.740458830888,1177.2969955072253,1184.69905770122,1190.7000810366578,1197.8275822703758,1200.3844189574795,1206.4746261612052,1210.931700405792,1218.7051798754314,1224.5108983448342,1230.6908144158112,1237.8666830598947,1244.2808999493434,1249.980474131443,1255.175384809072,1260.4868996408477,1265.4539519759346,1276.179661889366,1285.9704513147644,1294.9783372142194,1300.3508419363054,1305.7071922380799,1311.2614934341573,1316.7356290118437,1322.255534713699,1328.8601858262602,1334.8896815891949,1341.5698523569113,1347.9277736568993,1351.7956346225917,1354.629719827921,1358.714630386713,1363.5977443284894,1369.0171160762416,1376.2628732881142,1377.6634818454888,1378.2396016849561,1379.9356598877227,1387.7902607807812,1395.9119180905816,1405.4296566792852,1416.821724938473,1430.873895536164,1445.5389488046824,1462.5112548351551,1480.4675619685004,1498.0054541951363,1519.7108514363777,1544.6362523485284,1575.9730815304001,1606.9364160327618,1641.5675236133818,1671.8427387120282,1698.4198829456684,1717.5056774762693,1731.3722816874133,1741.0299473936561,1746.9776201425152,1756.2647947214507,1767.2955072353136,1781.3220299051904,1794.5480456292075,1807.5132931235955,1814.2114673892236,1816.7048541355741,1816.2297037351773,1818.444615895718,1824.9457128632616,1827.424265503539,1830.0198999787074,1835.934310272802,1839.6444321938338,1839.6569324480638,1833.363121328945,1830.0619737170753,1828.7104701151454,1827.0700255637232,1826.6783055738301,1825.8661807563828,1827.9711726494472,1833.527688930979,1839.3924539729737,1840.5495558401267,1841.0015416862925,1841.562931841087,1845.4365635487957,1846.8907184795132,1848.9063430655804,1853.8577820882372,1859.745586004023,1865.8766704677314,1868.4913331461344,1870.8719945584526
