State,,Total Population,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Median Income (dollars)
Idaho,"Moved; from different county, same state",3,5.3,3.1,2.5,3.4,3.1,2.5,1.7,1.5,27795
Idaho,Moved; from different  state,4.3,6.8,3.9,4.3,3.2,4.1,4.2,4.2,3,30816
Idaho,Moved; from abroad,0.5,1.4,0.3,0.3,0.5,0.1,0.3,0.1,0.2,10422
Illinois,Total,10355562,1164829,654787,1037941,967417,1304824,1045083,519277,2378779,41920
Illinois,Moved; within same county,6.2,6.7,6.3,6.6,7,6.6,5.5,6.1,5.9,40106
Illinois,"Moved; from different county, same state",2.4,3.7,2.4,2.3,2.3,2.3,2.3,2.2,1.6,34007
Illinois,Moved; from different  state,1.8,2.4,2,1.8,1.7,1.5,1.6,1.9,1.6,36680
Illinois,Moved; from abroad,0.8,1.2,0.6,1.1,0.4,0.3,0.3,0.4,0.3,20882
Indiana,Total,5574487,673849,386506,628808,606700,810216,620889,268209,943046,37451
Indiana,Moved; within same county,6.1,7.4,7.2,6.9,7.1,6.4,5.5,5,3.8,31168
Indiana,"Moved; from different county, same state",3.8,5.9,4.2,3.4,3.8,3.9,3.7,2.1,2.4,31085
Indiana,Moved; from different  state,2.3,3.8,2.1,2.4,2.3,2.2,1.9,1.7,1.9,30994
Indiana,Moved; from abroad,0.5,0.9,0.4,0.3,0.5,0.3,0.2,0.2,0.3,25418
Iowa,Total,2614371,317739,179082,298722,278130,397395,316154,141968,469819,39441
Iowa,Moved; within same county,6.2,7.8,8,7.2,6.6,7,6,4.4,3.1,31903
Iowa,"Moved; from different county, same state",3.7,6.6,5.2,3.4,4.4,3.5,3.4,3,1.9,30156
Iowa,Moved; from different  state,2.5,4.5,3.1,2.6,2.3,2,1.3,2.1,1.7,26726
Iowa,Moved; from abroad,0.5,0.6,0.4,0.5,0.8,0.3,0.3,0.1,0.3,30032
Kansas,Total,2381110,289908,161332,265337,265559,345623,275446,113149,427261,38496
Kansas,Moved; within same county,7.1,7.5,7.9,7.6,9.8,7.3,6.9,5.3,4.5,31981
Kansas,"Moved; from different county, same state",3.3,6,5.2,3.6,2.9,3.3,2.6,1.8,1.9,25939
Kansas,Moved; from different  state,2.7,5,2.9,2.3,2.4,3,2.1,1.9,1.9,30068
Kansas,Moved; from abroad,0.7,1.1,0.7,0.2,0.5,0.3,0.5,0.6,0.2,27124
Kentucky,Total,3694195,468166,318453,458959,399361,517143,367196,163190,554317,34234
Kentucky,Moved; within same county,5.9,7.3,6.1,6.7,6.4,6.3,5.3,4.8,4.1,29477
Kentucky,"Moved; from different county, same state",3.5,5.1,4.4,3.9,3.3,3.2,2.6,1.6,1.8,23733
Kentucky,Moved; from different  state,2.4,3.5,1.8,1.9,1.9,2.2,2.3,2.5,2.4,33360
Kentucky,Moved; from abroad,0.6,1.3,0.5,0.3,0.5,0.4,0.5,0.2,0.2,19617
Louisiana,Total,3698398,485197,336797,462567,379496,448278,335921,151539,570434,32253
Louisiana,Moved; within same county,5.8,6.9,7.7,6.2,5.8,6.5,5.6,4.1,4,26993
