RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
395022,45,"Richmond, VA",msa,VA,221485.0,221719.0,222759.0,226308.0,225923.0,226776.0,226372.0,230883.0,232882.0,234128.0,233959.0,231849.0,233926.0,235195.0,239185.0,238913.0,241374.0,241495.0,242600.0,242960.0,246881.0,250045.0,248615.0,248909.0,250823.0,260887.0,268275.0,273598.0,273091.0,270670.0,273501.0,274004.0,276220.0,274989.0,278511.0,281634.0,286413.0,290674.0,293622.0,294474.0,293996.0,294920.0,296570.0,299796.0,305125.0,312542.0,317276.0,319138.0,315795.0,315357.0,314728.0,314176.0,311179.0,308475.0,311675.0,313415.0,317056.0,322399.0,329103.0,333750.0,333148.0,335774.0,337114.0,340540.0,340210.0,340826.0,343917.0,348228.0,349696.0,350332.0,352034.0,357446.0,356085.0,357127.0,358089.0,366654.0,372265.0
394807,46,"Louisville, KY",msa,KY,169102.0,167818.0,166759.0,167143.0,171118.0,171945.0,173690.0,172594.0,173286.0,174619.0,178451.0,181375.0,181540.0,179910.0,179460.0,178117.0,178011.0,177069.0,180096.0,181855.0,185810.0,185563.0,186875.0,191023.0,197368.0,202627.0,202441.0,203433.0,201000.0,200586.0,199722.0,201673.0,203202.0,204354.0,207332.0,212478.0,213033.0,215989.0,216947.0,220435.0,220340.0,217458.0,216718.0,217249.0,223261.0,226151.0,230958.0,231352.0,232085.0,232260.0,235206.0,233949.0,230408.0,225424.0,226968.0,230082.0,234536.0,237267.0,239439.0,241538.0,242425.0,241630.0,240451.0,241154.0,240387.0,241415.0,242181.0,247088.0,249951.0,251326.0,253142.0,253623.0,250415.0,249692.0,250605.0,254048.0,255041.0
394910,47,"New Orleans, LA",msa,LA,193102.0,192686.0,190728.0,190724.0,191481.0,192712.0,192176.0,189337.0,190039.0,191734.0,197117.0,197816.0,200508.0,197326.0,199390.0,200670.0,200537.0,200310.0,199822.0,202648.0,204094.0,203750.0,205725.0,209420.0,213472.0,217213.0,220350.0,223766.0,223422.0,223658.0,224352.0,230453.0,235902.0,239317.0,242733.0,242873.0,245432.0,251304.0,255878.0,256581.0,251732.0,256164.0,261289.0,268104.0,269306.0,274124.0,276065.0,271090.0,264394.0,257780.0,259181.0,260007.0,263902.0,261761.0,256216.0,250924.0,251921.0,259414.0,262108.0,265139.0,257940.0,254889.0,250763.0,250926.0,244660.0,239926.0,242279.0,249357.0,257698.0,257247.0,260410.0,256975.0,257825.0,256901.0,260555.0,260322.0,263513.0
395053,48,"Salt Lake City, UT",msa,UT,309511.0,311781.0,314577.0,316674.0,313104.0,313785.0,317384.0,321077.0,321500.0,324020.0,328781.0,333904.0,334439.0,336673.0,334374.0,338769.0,341338.0,345819.0,349168.0,352813.0,354442.0,351802.0,353210.0,360166.0,368804.0,377359.0,380373.0,385557.0,389720.0,394543.0,402806.0,412470.0,426202.0,435766.0,446290.0,455934.0,464313.0,469270.0,469496.0,474156.0,476082.0,485372.0,490666.0,505169.0,516521.0,527386.0,524774.0,515695.0,509715.0,507487.0,512835.0,505699.0,492756.0,483461.0,482532.0,491859.0,490829.0,495044.0,494153.0,502678.0,503170.0,503868.0,502754.0,502977.0,504544.0,503320.0,512764.0,518777.0,526304.0,522041.0,520361.0,525240.0,526111.0,529816.0,527571.0,524613.0,525463.0
394669,49,"Hartford, CT",msa,CT,215976.0,212019.0,211897.0,210557.0,214730.0,214461.0,211682.0,212995.0,216899.0,222317.0,220553.0,219873.0,218320.0,220227.0,220860.0,223446.0,225243.0,227323.0,229472.0,235112.0,239153.0,238657.0,232862.0,229680.0,231622.0,237817.0,244435.0,250338.0,254553.0,256282.0,257454.0,255226.0,256947.0,256775.0,259284.0,259552.0,261243.0,264486.0,265409.0,267716.0,268897.0,270540.0,270462.0,267860.0,270729.0,273352.0,282968.0,286807.0,289025.0,288966.0,289919.0,290995.0,287382.0,285525.0,290413.0,294492.0,298033.0,301202.0,305314.0,310313.0,312612.0,316021.0,319677.0,318160.0,319871.0,316373.0,317895.0,320848.0,326180.0,332160.0,339402.0,343475.0,346504.0,349094.0,349273.0,349729.0,347242.0
394425,50,"Buffalo, NY",msa,NY,148224.0,150793.0,149127.0,150715.0,150088.0,150903.0,152680.0,152050.0,153211.0,152548.0,156066.0,157282.0,158798.0,158586.0,160442.0,159900.0,161761.0,160739.0,158813.0,158285.0,161774.0,168810.0,167201.0,166044.0,166205.0,172522.0,175975.0,178410.0,179398.0,181271.0,180190.0,179140.0,178047.0,183424.0,188249.0,193762.0,197820.0,200053.0,202026.0,200666.0,201943.0,200909.0,199904.0,196780.0,197709.0,205376.0,215063.0,221214.0,219560.0,218177.0,216916.0,219881.0,219246.0,218436.0,210402.0,207214.0,205923.0,212584.0,223688.0,230453.0,236154.0,238092.0,241369.0,241545.0,238448.0,235016.0,229964.0,229864.0,230454.0,234746.0,236090.0,244421.0,251659.0,253400.0,250656.0,247680.0,251158.0
394388,51,"Birmingham, AL",msa,AL,173317.0,173206.0,172490.0,174675.0,171302.0,169735.0,169914.0,174337.0,179524.0,183817.0,184259.0,181330.0,177752.0,176920.0,180118.0,180276.0,180895.0,181008.0,184846.0,190178.0,194381.0,192810.0,189019.0,189997.0,195050.0,201223.0,204463.0,207451.0,204680.0,203029.0,203647.0,203044.0,205817.0,205514.0,210767.0,213057.0,214752.0,216476.0,222920.0,227324.0,229109.0,225683.0,226659.0,230536.0,236445.0,239146.0,243452.0,244092.0,245339.0,242745.0,241622.0,238770.0,235155.0,228731.0,227379.0,225995.0,229785.0,233679.0,234765.0,239234.0,239395.0,240895.0,235760.0,231566.0,230911.0,221602.0,218671.0,217172.0,226236.0,235592.0,241233.0,241298.0,230728.0,222753.0,222397.0,226469.0,231689.0
395031,52,"Rochester, NY",msa,NY,140460.0,139490.0,139767.0,140135.0,140276.0,138987.0,138527.0,139906.0,141280.0,143495.0,145489.0,147506.0,148564.0,148242.0,149295.0,148876.0,150156.0,149378.0,148285.0,149065.0,152427.0,154662.0,151944.0,152214.0,157014.0,164690.0,168205.0,168836.0,169141.0,167654.0,165913.0,164311.0,167047.0,171503.0,177986.0,178135.0,179929.0,178100.0,180122.0,179057.0,178870.0,177804.0,174329.0,174585.0,177638.0,186584.0,192745.0,196740.0,197986.0,196896.0,194228.0,191044.0,189194.0,188158.0,190042.0,191291.0,195072.0,198246.0,205905.0,211867.0,216654.0,218295.0,220866.0,221219.0,220673.0,217298.0,211727.0,211275.0,217257.0,228458.0,236651.0,238055.0,236664.0,237366.0,238259.0,239654.0,236479.0
394640,53,"Grand Rapids, MI",msa,MI,180040.0,181175.0,182709.0,183268.0,183030.0,182579.0,183898.0,184949.0,188153.0,190178.0,193191.0,194253.0,195458.0,196208.0,196010.0,195964.0,195867.0,196608.0,197926.0,202479.0,205680.0,206731.0,206473.0,209615.0,213477.0,220191.0,224002.0,227480.0,225066.0,222149.0,223709.0,228485.0,237433.0,241931.0,246037.0,247861.0,249463.0,248333.0,246884.0,249465.0,251740.0,252049.0,253556.0,259719.0,270133.0,276427.0,278875.0,281252.0,281530.0,281354.0,278172.0,275588.0,270606.0,266354.0,267563.0,273719.0,279626.0,289299.0,291405.0,297012.0,295407.0,297871.0,298687.0,295937.0,291797.0,291673.0,298636.0,307287.0,313811.0,312961.0,316206.0,313948.0,317192.0,316225.0,315958.0,316964.0,319110.0
395167,54,"Tucson, AZ",msa,AZ,193806.0,195150.0,197002.0,198406.0,198987.0,199707.0,200502.0,203366.0,203576.0,207576.0,210052.0,213157.0,211129.0,212053.0,214338.0,215025.0,218467.0,218446.0,222555.0,223688.0,225786.0,225177.0,223660.0,227586.0,233759.0,240634.0,244399.0,248320.0,249926.0,253336.0,255632.0,261962.0,266089.0,273785.0,279032.0,283705.0,289422.0,293497.0,297194.0,298310.0,302461.0,306496.0,311855.0,315130.0,322642.0,328537.0,334812.0,333258.0,330840.0,326921.0,323975.0,322501.0,318599.0,317919.0,314836.0,315156.0,317937.0,323012.0,328967.0,331240.0,332376.0,331474.0,331456.0,329914.0,328504.0,330533.0,335636.0,341968.0,347186.0,347265.0,344863.0,342122.0,340185.0,339719.0,337947.0,341410.0,345108.0
753924,55,"Urban Honolulu, HI",msa,HI,567208.0,560217.0,560821.0,560371.0,558552.0,561078.0,559791.0,574583.0,572118.0,582095.0,580105.0,596998.0,596166.0,599561.0,587706.0,581516.0,582251.0,577723.0,590438.0,600300.0,613813.0,613698.0,602494.0,600514.0,604485.0,617532.0,615445.0,615505.0,621459.0,629364.0,633593.0,621157.0,622761.0,631879.0,636529.0,643829.0,651539.0,660423.0,665450.0,661122.0,665309.0,675049.0,673809.0,671979.0,672026.0,684974.0,697330.0,693415.0,681249.0,670700.0,679017.0,680651.0,677766.0,654012.0,642749.0,651802.0,651689.0,664809.0,657705.0,663786.0,663564.0,674093.0,684553.0,687536.0,689421.0,692827.0,692272.0,691071.0,696068.0,675241.0,696673.0,689455.0,717569.0,700010.0,701547.0,712367.0,727107.0
395169,56,"Tulsa, OK",msa,OK,149410.0,149083.0,150746.0,151187.0,148985.0,148192.0,148150.0,153448.0,156082.0,158378.0,159972.0,161847.0,160709.0,159569.0,157953.0,158172.0,161139.0,163975.0,169866.0,171338.0,171375.0,169709.0,170839.0,174843.0,180243.0,184119.0,186484.0,186962.0,188044.0,188338.0,189295.0,189590.0,192337.0,191630.0,195320.0,195562.0,201191.0,201750.0,204968.0,206983.0,208610.0,208959.0,208125.0,209028.0,214781.0,218922.0,223752.0,222526.0,221573.0,219856.0,221426.0,220284.0,217797.0,214071.0,212746.0,215547.0,218924.0,228158.0,231263.0,231342.0,225763.0,224718.0,227443.0,227675.0,225449.0,220657.0,224653.0,231209.0,235044.0,235233.0,235795.0,239614.0,244036.0,244063.0,240632.0,238406.0,236440.0
394619,57,"Fresno, CA",msa,CA,256406.0,254192.0,255159.0,253373.0,253828.0,253887.0,255682.0,259832.0,259780.0,261662.0,260379.0,264890.0,265049.0,266467.0,265660.0,267552.0,268505.0,269933.0,271755.0,269856.0,271065.0,270590.0,277357.0,283564.0,290717.0,297715.0,304408.0,306150.0,307658.0,307736.0,316446.0,320995.0,325585.0,330720.0,336921.0,342278.0,345098.0,347088.0,350561.0,353314.0,359197.0,366527.0,374667.0,378222.0,378572.0,378242.0,383398.0,382927.0,376750.0,373840.0,373953.0,377383.0,372358.0,366193.0,362810.0,366691.0,372710.0,376756.0,376370.0,377324.0,376974.0,373045.0,370361.0,369581.0,371695.0,372634.0,377744.0,379884.0,384276.0,381253.0,384258.0,385737.0,390092.0,391457.0,389583.0,388582.0,385796.0
395238,58,"Worcester, MA",msa,MA,250911.0,252426.0,250536.0,252619.0,250436.0,253727.0,254753.0,256097.0,259200.0,260278.0,259470.0,258301.0,260265.0,264370.0,267699.0,268519.0,272911.0,274116.0,274470.0,275555.0,278843.0,286906.0,284373.0,288790.0,289061.0,299671.0,304796.0,310981.0,311840.0,313356.0,309919.0,312209.0,314485.0,324665.0,331612.0,334847.0,336935.0,339254.0,342875.0,347221.0,346110.0,350567.0,351444.0,352589.0,354838.0,359171.0,370893.0,378160.0,381729.0,378406.0,377622.0,374217.0,373329.0,367035.0,370876.0,374968.0,384119.0,388232.0,394538.0,395985.0,398525.0,400035.0,401928.0,403114.0,398851.0,398512.0,394934.0,397751.0,401062.0,409046.0,418593.0,418914.0,418077.0,416428.0,421275.0,425537.0,430334.0
394938,59,"Omaha, NE",msa,NE,170207.0,171415.0,173252.0,176676.0,176418.0,176437.0,177449.0,178564.0,179023.0,178539.0,179242.0,180814.0,181006.0,182669.0,182256.0,183345.0,183937.0,184066.0,186182.0,185993.0,189124.0,190134.0,192559.0,195567.0,198791.0,200955.0,201358.0,203079.0,205754.0,207383.0,205578.0,210384.0,215845.0,221929.0,224088.0,225644.0,227062.0,225875.0,224231.0,223588.0,224330.0,223530.0,225952.0,230633.0,239819.0,244885.0,247170.0,247888.0,247748.0,249851.0,250229.0,252038.0,249166.0,247724.0,247407.0,249554.0,253233.0,256484.0,259943.0,262844.0,265271.0,268065.0,268707.0,269145.0,270604.0,271099.0,270957.0,268547.0,269700.0,275026.0,279834.0,280690.0,279241.0,276496.0,278403.0,281995.0,287226.0
394415,60,"Bridgeport, CT",msa,CT,372808.0,370869.0,376075.0,380177.0,388959.0,387808.0,384508.0,382061.0,383791.0,385546.0,381701.0,377803.0,379379.0,380442.0,378394.0,385308.0,389222.0,406442.0,407365.0,415781.0,410711.0,408586.0,404043.0,413155.0,440173.0,465557.0,488371.0,,485289.0,475049.0,488460.0,488166.0,492214.0,490985.0,504074.0,518081.0,512452.0,494278.0,474546.0,471705.0,474518.0,470121.0,462865.0,475328.0,488571.0,505196.0,522986.0,538350.0,550623.0,538592.0,530992.0,517677.0,502416.0,489109.0,482370.0,497165.0,503932.0,520718.0,547724.0,578983.0,608144.0,585413.0,565068.0,544121.0,549216.0,543787.0,536945.0,527735.0,553930.0,562403.0,617939.0,625208.0,652537.0,625120.0,608222.0,591944.0,599879.0
394653,61,"Greenville, SC",msa,SC,179667.0,178697.0,176560.0,176526.0,178776.0,179762.0,182440.0,183260.0,187609.0,188595.0,190957.0,190947.0,193101.0,192483.0,193638.0,191183.0,191711.0,191073.0,193469.0,196691.0,198878.0,200161.0,201620.0,204214.0,209788.0,212351.0,218845.0,221813.0,229261.0,230832.0,230588.0,227783.0,227705.0,230071.0,234663.0,238567.0,242037.0,243920.0,248754.0,254649.0,259149.0,258734.0,258757.0,258206.0,263460.0,269038.0,275397.0,278085.0,274952.0,279770.0,280931.0,283229.0,273488.0,270338.0,266608.0,271586.0,273179.0,281124.0,282888.0,286800.0,284740.0,286658.0,285866.0,284173.0,280211.0,275110.0,277221.0,280896.0,286474.0,289390.0,293977.0,298962.0,301505.0,300541.0,299126.0,299389.0,301429.0
