SizeRank,RegionName,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
155,"Gainesville, FL",FL,194559.0,198012.0,193702.0,195165.0,190412.0,196145.0,197694.0,201805.0,208337.0,207079.0,214129.0,209911.0,219456.0,218843.0,217742.0,217323.0,218183.0,220792.0,222905.0,227957.0,235629.0,239359.0,241093.0,241011.0,237358.0,240872.0,244294.0,250380.0,252978.0,257107.0,257807.0,254210.0,254628.0,255706.0,259438.0,260064.0,268162.0,272869.0,274881.0,273381.0,273514.0,282551.0,282851.0,281615.0,277008.0,272864.0,276185.0,276207.0,279893.0,287735.0,287261.0,294142.0,287933.0,290390.0,285241.0,285352.0,276506.0,278843.0,283434.0,297487.0
156,"Boulder, CO",CO,515732.0,512770.0,518821.0,523843.0,521358.0,511724.0,517380.0,539236.0,566030.0,577515.0,,568087.0,557302.0,552451.0,560643.0,604026.0,633602.0,657581.0,641255.0,631826.0,630439.0,643833.0,655071.0,652525.0,649303.0,685346.0,706880.0,737003.0,743571.0,759330.0,740686.0,721085.0,711328.0,708672.0,699068.0,696331.0,698769.0,705125.0,704276.0,713074.0,726331.0,729426.0,737450.0,734433.0,738578.0,746110.0,760592.0,736184.0,703753.0,689606.0,699290.0,724220.0,735002.0,744351.0,749737.0,738068.0,732151.0,725278.0,738879.0,759302.0
157,"Green Bay, WI",WI,180820.0,177942.0,180313.0,181648.0,182451.0,183667.0,185647.0,191442.0,193347.0,196842.0,197148.0,195802.0,196688.0,193922.0,199161.0,201382.0,208339.0,210655.0,217596.0,218532.0,220867.0,223129.0,233302.0,234060.0,227226.0,223005.0,227931.0,240800.0,245845.0,247792.0,241639.0,244169.0,247249.0,257488.0,256835.0,258186.0,254708.0,253316.0,255389.0,255025.0,258805.0,268105.0,272138.0,282066.0,276084.0,274389.0,268936.0,266271.0,268152.0,275442.0,282266.0,288054.0,280563.0,283895.0,285861.0,292085.0,289377.0,287485.0,289803.0,291569.0
158,"Columbus, GA",GA,151848.0,146423.0,151263.0,149104.0,151853.0,149588.0,152061.0,155178.0,161767.0,169050.0,172018.0,172133.0,172594.0,168286.0,169341.0,166726.0,172496.0,175515.0,174049.0,173101.0,174780.0,180093.0,177483.0,174656.0,175369.0,180346.0,176397.0,180625.0,181146.0,187089.0,177644.0,175861.0,176158.0,178858.0,174457.0,169792.0,169313.0,175112.0,180583.0,181166.0,177468.0,174932.0,177708.0,181960.0,187599.0,184485.0,188687.0,182385.0,182901.0,181439.0,184025.0,188373.0,193565.0,201426.0,205127.0,203887.0,196617.0,191711.0,192115.0,189984.0
159,"South Bend, IN",IN,142686.0,145214.0,143548.0,149947.0,149554.0,149858.0,149532.0,152487.0,153939.0,153382.0,156324.0,158637.0,158282.0,157070.0,153615.0,156981.0,157325.0,162846.0,163493.0,168071.0,170344.0,170949.0,172152.0,175281.0,174661.0,174214.0,173822.0,178992.0,185107.0,188453.0,189987.0,182077.0,184352.0,183618.0,183962.0,179426.0,175135.0,183885.0,183489.0,185964.0,182572.0,183898.0,185288.0,189505.0,190747.0,189850.0,185678.0,182215.0,188727.0,189413.0,193735.0,190280.0,190528.0,192884.0,196907.0,207579.0,210211.0,210097.0,202747.0,199692.0
160,"Spartanburg, SC",SC,159090.0,159018.0,160110.0,165498.0,167321.0,167357.0,167231.0,174194.0,178602.0,181003.0,180767.0,181983.0,184022.0,186284.0,184375.0,185495.0,188947.0,196915.0,201515.0,200452.0,202056.0,204484.0,210338.0,209537.0,215260.0,215382.0,222667.0,223731.0,227543.0,232457.0,234338.0,234796.0,228092.0,228246.0,225969.0,226941.0,223860.0,228034.0,232090.0,235792.0,238553.0,239598.0,241166.0,240783.0,240822.0,240879.0,242406.0,238875.0,238993.0,235912.0,240723.0,241289.0,244682.0,248393.0,251549.0,251480.0,250655.0,249479.0,251752.0,249022.0
161,"Greeley, CO",CO,351039.0,350676.0,354438.0,357133.0,357944.0,357139.0,359669.0,366671.0,371980.0,376407.0,379816.0,384263.0,387256.0,386338.0,392601.0,402506.0,417877.0,423709.0,427565.0,429301.0,435152.0,440803.0,447472.0,449975.0,452810.0,459182.0,466654.0,476488.0,483564.0,487812.0,486921.0,480816.0,474704.0,470667.0,467191.0,462514.0,459318.0,459675.0,458488.0,459116.0,459659.0,464406.0,472069.0,475506.0,475626.0,472090.0,467461.0,469045.0,468076.0,469295.0,473218.0,481152.0,487163.0,489226.0,482669.0,483130.0,481903.0,483566.0,487267.0,495230.0
162,"Lubbock, TX",TX,158798.0,163503.0,167164.0,171470.0,171212.0,172292.0,176876.0,179083.0,180738.0,178869.0,183171.0,184350.0,187452.0,186419.0,187175.0,185518.0,191214.0,196176.0,200607.0,198206.0,200002.0,202178.0,205279.0,203528.0,202076.0,199804.0,209333.0,215637.0,220597.0,218971.0,220272.0,221975.0,220090.0,217304.0,215559.0,212233.0,216244.0,214103.0,219097.0,215285.0,219901.0,220226.0,221782.0,220976.0,219056.0,221256.0,219748.0,221577.0,220090.0,221647.0,226582.0,225994.0,229883.0,223139.0,224297.0,220576.0,222582.0,221847.0,220624.0,217439.0
163,"Clarksville, TN",TN,175017.0,175477.0,175333.0,177624.0,179500.0,182165.0,183685.0,187562.0,191400.0,194168.0,197046.0,199327.0,200417.0,200575.0,200054.0,207315.0,214577.0,223295.0,223506.0,225125.0,227948.0,234767.0,238897.0,239625.0,240040.0,247375.0,258124.0,263900.0,267289.0,270856.0,272248.0,269279.0,263056.0,263974.0,265216.0,264419.0,262833.0,261486.0,266773.0,267788.0,271237.0,272770.0,274800.0,275018.0,272674.0,271352.0,268141.0,268485.0,270577.0,275452.0,277620.0,276519.0,278943.0,282210.0,282804.0,280459.0,276404.0,278053.0,281823.0,285020.0
164,"Roanoke, VA",VA,186128.0,185585.0,188764.0,188754.0,188329.0,187277.0,189668.0,196771.0,205634.0,211878.0,213273.0,212778.0,209349.0,206830.0,207631.0,205997.0,211080.0,209395.0,213160.0,206809.0,215276.0,219578.0,224875.0,223919.0,223642.0,225509.0,223036.0,224940.0,231910.0,238695.0,240148.0,239187.0,237296.0,238209.0,233542.0,230055.0,231471.0,232536.0,239988.0,235470.0,237603.0,238906.0,249149.0,249065.0,246455.0,244547.0,244024.0,245245.0,241439.0,248208.0,251088.0,256102.0,257564.0,265499.0,268592.0,267009.0,263768.0,269136.0,278707.0,278187.0
165,"Evansville, IN",IN,154761.0,156928.0,150907.0,149342.0,144553.0,149073.0,150403.0,155540.0,160644.0,163492.0,163410.0,161506.0,165071.0,166183.0,168750.0,168914.0,168617.0,170686.0,172164.0,174955.0,174083.0,175362.0,175143.0,179188.0,174064.0,176647.0,174345.0,179848.0,179613.0,181892.0,178737.0,179568.0,177399.0,183041.0,181521.0,175858.0,170501.0,174322.0,182818.0,186892.0,191305.0,197910.0,204728.0,204891.0,198996.0,197922.0,193456.0,194786.0,193727.0,199050.0,204100.0,203532.0,201190.0,202163.0,204732.0,208576.0,209845.0,201577.0,202800.0,202863.0
167,"Kingsport, TN",TN,142653.0,140104.0,142764.0,140515.0,140699.0,142038.0,143939.0,149716.0,151011.0,152084.0,156545.0,155856.0,157659.0,155242.0,158225.0,159987.0,159445.0,158288.0,159635.0,164318.0,163691.0,165563.0,166651.0,172815.0,171301.0,169933.0,168994.0,172672.0,182815.0,184003.0,186355.0,182270.0,181865.0,183489.0,180158.0,181739.0,183484.0,191869.0,188091.0,189192.0,190484.0,200865.0,206639.0,204344.0,205785.0,204966.0,206470.0,204948.0,204131.0,203075.0,207529.0,206790.0,217984.0,222409.0,229749.0,226075.0,227294.0,222727.0,226606.0,224338.0
168,"Kennewick, WA",WA,294923.0,291857.0,289073.0,292930.0,298502.0,298278.0,307772.0,310197.0,317396.0,314295.0,319838.0,317036.0,318624.0,315411.0,321012.0,320707.0,332141.0,341418.0,357701.0,365859.0,368280.0,371206.0,367348.0,372677.0,377887.0,387320.0,393740.0,400000.0,402447.0,404674.0,404851.0,405390.0,405717.0,406418.0,402596.0,398912.0,391449.0,394535.0,392398.0,389578.0,388086.0,394225.0,403255.0,408198.0,405815.0,406092.0,404307.0,400986.0,403596.0,406404.0,416716.0,416660.0,415920.0,411075.0,414258.0,417704.0,421960.0,427533.0,424794.0,424627.0
169,"Utica, NY",NY,131133.0,130118.0,132770.0,133765.0,136366.0,135936.0,136830.0,136392.0,137040.0,141316.0,145260.0,148242.0,147928.0,150090.0,151151.0,155655.0,159075.0,158383.0,156548.0,154641.0,159309.0,164128.0,164936.0,165935.0,167488.0,170105.0,170866.0,169623.0,169423.0,169245.0,168888.0,174646.0,176319.0,178744.0,174646.0,172239.0,171610.0,173655.0,175750.0,175029.0,169833.0,172224.0,175604.0,182462.0,186435.0,179897.0,182649.0,180892.0,193034.0,195057.0,195361.0,194708.0,195984.0,200026.0,199080.0,198002.0,196950.0,197025.0,199361.0,201901.0
170,"Hagerstown, MD",MD,189882.0,193273.0,195165.0,201263.0,200339.0,202160.0,204200.0,206654.0,210182.0,213169.0,217703.0,216740.0,217237.0,215369.0,219353.0,220711.0,221077.0,221307.0,223856.0,229994.0,232801.0,235836.0,238602.0,242973.0,244564.0,246968.0,251929.0,255167.0,258863.0,256437.0,258863.0,254247.0,254658.0,250339.0,253844.0,254842.0,255691.0,256369.0,256175.0,262916.0,266252.0,270731.0,269314.0,271481.0,268308.0,269273.0,272094.0,276797.0,277056.0,282835.0,285022.0,290905.0,287005.0,286843.0,284938.0,288420.0,290193.0,292221.0,288071.0,289354.0
171,"Duluth, MN",MN,148710.0,147856.0,153068.0,164910.0,169891.0,171696.0,168115.0,167873.0,171326.0,174607.0,179106.0,179039.0,180549.0,174920.0,174189.0,174656.0,180630.0,184869.0,182357.0,189373.0,190875.0,199208.0,196995.0,198665.0,191296.0,190659.0,195903.0,200807.0,209265.0,207349.0,213196.0,206383.0,210941.0,208616.0,208527.0,199175.0,194616.0,204484.0,209043.0,215175.0,212563.0,221928.0,224343.0,226540.0,222863.0,228040.0,223585.0,225929.0,224527.0,222635.0,215565.0,215066.0,221661.0,238365.0,240030.0,245448.0,241637.0,241580.0,239771.0,234858.0
172,"Olympia, WA",WA,335484.0,337922.0,343604.0,344300.0,346721.0,350673.0,356523.0,362707.0,370920.0,376161.0,381753.0,385626.0,392736.0,401229.0,410580.0,417783.0,422557.0,431098.0,436463.0,444047.0,448073.0,455526.0,456662.0,460284.0,460637.0,468212.0,477286.0,490142.0,501699.0,503430.0,498947.0,488250.0,481905.0,483371.0,477073.0,479472.0,469550.0,472310.0,469813.0,475168.0,481605.0,487222.0,488392.0,495111.0,492152.0,494565.0,496232.0,500323.0,506092.0,500048.0,499012.0,496447.0,493622.0,490666.0,493382.0,496892.0,498332.0,496871.0,502430.0,506110.0
173,"Longview, TX",TX,168183.0,167212.0,167343.0,168566.0,172495.0,175902.0,179456.0,179919.0,181570.0,186811.0,192649.0,190836.0,190710.0,188880.0,198915.0,203403.0,205960.0,203446.0,205634.0,211850.0,213534.0,215672.0,215835.0,217942.0,214223.0,214941.0,227832.0,237764.0,240841.0,236940.0,235633.0,236284.0,232641.0,232242.0,231561.0,236560.0,232464.0,234003.0,228083.0,234413.0,231058.0,239087.0,245206.0,240127.0,240322.0,236399.0,243074.0,235135.0,233533.0,231440.0,235904.0,239646.0,244675.0,246039.0,244328.0,249458.0,252382.0,258417.0,255725.0,254386.0
174,"Wilmington, NC",NC,252051.0,251871.0,258580.0,261617.0,255649.0,255908.0,265396.0,279974.0,285785.0,288657.0,285291.0,287400.0,285958.0,288959.0,293005.0,290507.0,295436.0,297568.0,308045.0,309986.0,312686.0,314473.0,321667.0,325701.0,332578.0,332487.0,337372.0,347756.0,361350.0,372927.0,376776.0,376544.0,369968.0,369258.0,366666.0,362580.0,359635.0,367960.0,377602.0,383900.0,388205.0,397239.0,401415.0,401880.0,394566.0,396185.0,400414.0,414174.0,423408.0,424120.0,417163.0,411828.0,413734.0,422288.0,419501.0,419215.0,414351.0,422488.0,423219.0,430733.0
