State,Moved,Population 1 year and over,1 to 4 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median age (years)
Hawaii,"Moved; from different county, same state",0.6,0.5,0.5,0.9,0.5,0.6,0.8,0.4,0.3,0.6,39.9
Hawaii,Moved; from different  state,4.1,5.3,3,11.7,7.5,4.5,2.7,2.4,1.2,1.2,28.4
Hawaii,Moved; from abroad,1,1.3,0.6,2.4,1.4,1.2,1,0.9,0.1,0.4,33.8
Idaho,Total,1945004,91186,355483,192631,254318,258809,224893,225425,207695,134564,38.2
Idaho,Moved; within same county,6.7,7.4,5.8,15.4,11.6,6,4.5,3.5,2.4,3.2,26.7
Idaho,"Moved; from different county, same state",2.8,3.8,1.9,9.1,4.7,2.3,1.5,1.3,0.9,1.1,25
Idaho,Moved; from different  state,4.2,4.7,3.2,9.2,6.5,4,2,3.3,3.2,2,29.1
Idaho,Moved; from abroad,0.5,0.6,0.5,1.2,0.8,0.3,0.3,0.4,0.2,0.2,25.2
Illinois,Total,12427191,538528,2040601,1137066,1682224,1678404,1554808,1589730,1295604,910226,39.9
Illinois,Moved; within same county,6.1,7.6,5,10.7,11,6.2,4.8,3.7,2.8,4,30.6
Illinois,"Moved; from different county, same state",2.3,2.1,1.2,6.7,4.2,2.2,1.5,1.1,1,1,28.3
Illinois,Moved; from different  state,1.6,1.6,0.8,4.7,3.6,1.5,0.8,0.9,0.6,0.8,27.9
Illinois,Moved; from abroad,0.8,0.8,0.9,1.7,1.2,0.8,0.5,0.4,0.3,0.3,28.1
Indiana,Total,6783874,323233,1179348,666323,892860,878779,818503,843260,704321,477247,38.7
Indiana,Moved; within same county,6.2,7.9,6,12.6,9.4,6.3,4,3.3,3,3.9,28
Indiana,"Moved; from different county, same state",3.6,4.2,2.4,10.9,6.3,2.8,2.7,1.7,1.2,1.6,26.1
Indiana,Moved; from different  state,2.2,2.4,1.5,6.4,3.5,2.1,1.2,1.4,0.9,1.2,26.8
Indiana,Moved; from abroad,0.4,0.4,0.3,1.2,0.8,0.4,0.3,0.2,0.2,0.2,27.6
Iowa,Total,3170553,145612,543484,315032,398626,410413,364366,398132,345223,249665,39.6
Iowa,Moved; within same county,6.2,6.9,5.5,16.2,8.8,6,3.5,3.1,2.1,5.5,26.7
Iowa,"Moved; from different county, same state",3.4,3.2,1.7,12.5,5.8,2.8,1.6,1.6,1.1,2.1,25.4
Iowa,Moved; from different  state,2.3,2.2,1.3,7.7,3.3,2,1.5,1.3,1,0.9,25.9
Iowa,Moved; from abroad,0.5,0.8,0.5,0.9,1.1,0.8,0.1,0.2,0.3,0.3,28.7
Kansas,Total,2907735,137018,516934,297531,377828,387801,325660,346598,306990,211375,38.3
Kansas,Moved; within same county,7.2,9.8,6.9,16.9,12.2,5.8,4.5,3.2,2.7,4.1,25.8
Kansas,"Moved; from different county, same state",3.2,3.6,2.1,10.2,5.3,2.5,1.9,1.4,0.8,1.4,25
Kansas,Moved; from different  state,2.7,3.5,1.7,7.2,4.2,2.5,1.9,1.5,0.9,1.2,27.5
Kansas,Moved; from abroad,0.7,1.5,0.8,1.2,1.2,0.8,0.3,0.3,0.4,0.2,28
Kentucky,Total,4477307,215786,747104,407142,595668,569759,555908,581172,484578,320190,39.7
Kentucky,Moved; within same county,5.9,7.6,5.3,14.3,9.6,5.8,4.3,3.3,2.4,2.3,27.8
Kentucky,"Moved; from different county, same state",3.3,2.9,2.1,10.6,5.8,3.3,2.1,1.5,1.1,1.6,26.9
Kentucky,Moved; from different  state,2.4,2.8,2,5.5,4.1,2.4,1.6,1.6,1,0.9,28.2
Kentucky,Moved; from abroad,0.6,1.4,0.6,1.2,1,0.5,0.5,0.3,0.3,0.3,27.4
Louisiana,Total,4524085,225972,787800,407420,589465,622533,529166,567138,483863,310728,39.1
Louisiana,Moved; within same county,6,8.6,6,11.7,9.2,5.5,4.6,3.8,2.7,2.8,28.3
Louisiana,"Moved; from different county, same state",3,4.7,2,7.8,5,3.2,2.2,1.7,1.1,1.2,28.4
Louisiana,Moved; from different  state,1.5,1.4,1,3.4,3.2,1.7,0.7,1,0.6,0.9,29.4
Louisiana,Moved; from abroad,0.5,0.8,0.4,0.8,1,0.6,0.2,0.3,0.3,0,29.6
Maine,Total,1385562,49738,185880,110484,168265,175757,168102,207216,189807,130313,45.2
Maine,Moved; within same county,5,7.1,4.5,13,9.3,5.1,2.9,2.5,1.4,4,30.1
Maine,"Moved; from different county, same state",2.6,2.7,2.3,7.2,5,2.2,2.3,0.9,1.1,1.6,30.6
Maine,Moved; from different  state,2.7,2.1,1.6,7.1,5.6,2.8,1.6,1.7,1.9,1.6,32.1
Maine,Moved; from abroad,0.3,0.1,0.5,1.7,0.3,0.2,0.2,0.1,0.1,0.2,24
Maryland,Total,6110314,276897,1012085,523893,792152,850476,768211,819962,626076,440562,40.2
Maryland,Moved; within same county,4.9,7.4,5.1,7.6,8.3,5.4,3.9,2.7,2,2.4,30.6
Maryland,"Moved; from different county, same state",2.7,3.2,1.9,7.5,5.1,2.8,1.7,1.2,1,1.3,28.4
Maryland,Moved; from different  state,2.7,3.7,1.8,6.3,5.6,2.6,1.6,1.1,1.2,1.3,29.3
Maryland,Moved; from abroad,0.8,0.9,0.8,1.6,1.2,0.8,0.6,0.3,0.4,0.2,30.1
Massachusetts,Total,6936108,276854,999294,684808,966446,927387,845153,943282,753079,539805,40.6
Massachusetts,Moved; within same county,5.8,7.3,4.7,10.2,10.6,6.3,4,3.1,2.9,3.6,30.8
Massachusetts,"Moved; from different county, same state",2.9,3.5,1.5,7,6.2,3,1.6,1.5,0.9,1.1,28.9
Massachusetts,Moved; from different  state,2.1,1.8,1,7.5,3.6,1.9,0.9,0.8,0.8,0.7,26.2
Massachusetts,Moved; from abroad,1,1.2,1,1.9,1.9,1.3,0.5,0.4,0.3,0.3,28.3
Michigan,Total,9939831,432029,1581012,918934,1314352,1229453,1194336,1337490,1160000,772225,40.9
Michigan,Moved; within same county,5.7,7.5,5.2,11.7,10,5.5,4.2,3.4,2.4,3.3,29
Michigan,"Moved; from different county, same state",3.3,3.6,1.9,11.4,5.8,2.6,2,1.7,1.3,1.2,26.3
Michigan,Moved; from different  state,1.4,1.2,0.7,3.6,2.5,1.3,0.8,0.8,0.9,0.8,29.9
Michigan,Moved; from abroad,0.6,0.7,0.6,0.9,0.9,0.7,0.4,0.3,0.3,0.2,29.8
Minnesota,Total,5673119,262199,967980,501365,739675,784774,665862,725336,606461,419467,39.5
Minnesota,Moved; within same county,5.1,5.6,3.8,12.4,9.6,4.7,2.9,2.2,2.1,4.9,28.9
Minnesota,"Moved; from different county, same state",4.2,5.1,2.6,14,7.3,3.6,2.3,1.7,1.6,2.4,26.2
Minnesota,Moved; from different  state,1.8,1.4,1,6,3.6,1.3,0.7,1,0.7,0.8,26.8
Minnesota,Moved; from abroad,0.5,0.6,0.5,1.4,0.7,0.8,0.3,0.2,0.2,0.3,28.6
Mississippi,Total,2907634,134959,508219,284309,350728,389028,357694,366205,311653,204839,39.8
Mississippi,Moved; within same county,4.6,6.5,5,9.7,5.8,4.5,3.2,2.7,2.2,3.1,26.8
Mississippi,"Moved; from different county, same state",3.3,3,2.5,8.8,6,3.7,2,1.6,1.3,1.4,27.4
Mississippi,Moved; from different  state,2.2,2.5,1.5,5.7,3.2,2.3,1.9,1.3,1.2,0.8,29.6
Mississippi,Moved; from abroad,0.4,0.4,0.3,0.5,0.7,0.5,0.4,0.2,0.1,0.1,31.3
Missouri,Total,6126390,278650,1022923,569007,806773,800294,720232,790014,671687,466810,39.8
Missouri,Moved; within same county,6,9.1,5.6,12.9,9.7,5.9,4.1,2.7,2.2,3.7,27.7
Missouri,"Moved; from different county, same state",3.4,4.8,2.5,9.3,5.3,3,2.7,1.8,1.2,1.5,26.8
Missouri,Moved; from different  state,2.3,3,1.3,6.2,4.5,2.1,1.5,1.2,1,1.2,28.4
Missouri,Moved; from abroad,0.4,0.5,0.4,1,0.6,0.4,0.2,0.1,0.2,0.1,27.5
Montana,Total,1120157,42708,180199,101405,144635,150709,125811,142740,141131,90819,41
Montana,Moved; within same county,6.4,6.7,4.9,16.4,12.3,5.4,4.5,3.8,1.9,3.5,28.7
Montana,"Moved; from different county, same state",3.2,3.9,2.4,10,6,2.6,1.8,1.8,0.9,1.5,27.1
Montana,Moved; from different  state,3.3,3,2.2,9.1,4.8,3.4,2.4,2.6,1.5,1.4,29.5
Montana,Moved; from abroad,0.2,0.5,0.1,0.6,0.5,0.1,0.3,0.1,0,0.3,29.6
Nebraska,Total,1956041,98161,358095,192539,254207,262121,220460,229533,201646,139279,37.8
Nebraska,Moved; within same county,6.7,8.7,5.4,16.6,10.5,6.4,3.4,3.2,2.6,5.1,26.7
Nebraska,"Moved; from different county, same state",3.2,3.3,1.7,10.6,5.1,2.6,2.5,1.4,1.3,1.8,25.9
Nebraska,Moved; from different  state,2.5,3,1.9,5.7,4.6,2.5,1.4,1.5,0.8,1.2,27.3
Nebraska,Moved; from abroad,0.7,0.5,0.8,0.9,1.3,0.7,0.5,0.3,0.2,0.4,28.2
Nevada,Total,3159456,136443,513353,256407,455592,446735,401070,394997,332418,222441,39.8
Nevada,Moved; within same county,9.2,11.8,9.8,14.8,14.8,9.7,8.2,5.8,3.6,4.5,30.6
Nevada,"Moved; from different county, same state",0.6,0.4,0.4,1.9,0.9,0.7,0.3,0.4,0.3,0.2,30.5
Nevada,Moved; from different  state,3.9,5.5,2.7,6.2,6.2,4,2.6,2.9,2.8,3.2,33.2
Nevada,Moved; from abroad,0.9,0.4,1.1,1.8,1.5,0.6,0.9,0.6,0.4,0.5,31.1
New Hampshire,Total,1389863,50588,187936,120374,176155,179806,168517,216529,175148,114810,43.8
New Hampshire,Moved; within same county,4.5,4.5,4.4,9.6,7.3,5.4,2.6,3.2,1.9,2.8,31.2
New Hampshire,"Moved; from different county, same state",2.1,2.7,1.6,5.3,4.9,1.7,1.8,0.7,0.7,1.3,28.7
New Hampshire,Moved; from different  state,2.9,4.1,1.4,7.6,6.2,3.1,1.4,1.5,1.5,1,29.8
